GR  Number,Branch ?,CPI,ML/DL/DA,AI/BC/DM,VLSI/SP/Comm,IP/Embed,IoT/Android/commn,Research,TOM/MECH,GEARS/GT,Internship,Company Class
141659,Comp,8.96,1,1,-1,-1,1,-1,-1,-1,OT,C
141712,Comp,9.04,1,1,-1,1,1,-1,-1,-1,WB/SB,C
141127,Electronics and telecommunication,8.2,1,-1,1,-1,-1,-1,-1,-1,MARK,C
141774,Electronics and telecommunication,8.86,1,-1,1,-1,-1,-1,-1,-1,ML/AI,C
141550,Electronics and telecommunication,6.3,-1,-1,-1,-1,1,-1,-1,-1,AND/IOT,C
141233,Electronics and telecommunication,8.85,1,-1,-1,-1,-1,-1,-1,-1,ML/AI,C
152111,Electronics and telecommunication,9.2,1,-1,1,-1,1,-1,-1,-1,EM/SP/CM,C
152010,Electronics and telecommunication,9,1,-1,1,-1,-1,-1,-1,-1,EM/SP/CM,C
141617,Electronics and telecommunication,8.88,1,1,1,-1,-1,-1,-1,-1,AND/IOT,C
141728,Electronics and telecommunication,8.88,1,-1,1,-1,1,-1,-1,-1,AND/IOT,C
141103,Electronics and telecommunication,8.96,1,-1,1,-1,1,-1,-1,-1,AND/IOT,C
141606,Comp,8.37,1,1,1,1,1,-1,-1,-1,WB/SB,B
141604,Comp,9.34,1,1,1,1,1,-1,-1,-1,WB/SB,B
141084,Comp,8.04,-1,-1,-1,-1,1,-1,-1,-1,OT,B
141304,Comp,9.48,1,1,1,1,-1,-1,-1,-1,ML/AI,B
141677,Comp,9.31,1,1,-1,1,1,-1,-1,-1,WB/SB,B
141541,Comp,9.43,1,1,-1,1,1,-1,-1,-1,WB/SB,B
141235,Comp,9.49,1,1,1,-1,1,-1,-1,-1,WB/SB,B
141473,Comp,8.03,-1,1,1,1,1,-1,-1,-1,OT,B
141401,Comp,8.5,-1,1,-1,-1,1,-1,-1,-1,ML/AI,B
141473,Comp,9.34,1,1,-1,1,1,-1,-1,-1,WB/SB,B
141173,Comp,9.4,1,1,-1,1,-1,-1,-1,-1,WB/SB,B
141648,Comp,9.38,1,1,-1,-1,1,-1,-1,-1,ML/AI,B
141094,Electronics and telecommunication,9.57,1,1,1,1,1,-1,-1,-1,EM/SP/CM,B
141400,Electronics and telecommunication,9.44,1,1,1,1,-1,-1,-1,-1,EM/SP/CM,B
141098,Electronics and telecommunication,9.33,1,1,1,1,-1,-1,-1,-1,OT,B
131703,Electronics and telecommunication,9.3,-1,1,1,1,1,-1,-1,-1,EM/SP/CM,B
141457,Electronics and telecommunication,9.4,-1,1,1,1,1,-1,-1,-1,EM/SP/CM,B
141161,Electronics and telecommunication,9.36,-1,-1,1,1,1,-1,-1,-1,EM/SP/CM,B
141102,Electronics and telecommunication,9.51,1,-1,1,1,1,-1,-1,-1,WB/SB,B
141457,Electronics and telecommunication,8.12,-1,1,1,-1,1,1,-1,-1,ML/AI,B
141610,Electronics and telecommunication,9.32,1,1,-1,1,-1,-1,-1,-1,EM/SP/CM,B
141057,Electronics and telecommunication,9.34,1,1,1,-1,1,-1,-1,-1,ML/AI,B
152004,Electronics and telecommunication,9.32,-1,1,1,1,-1,-1,-1,-1,EM/SP/CM,B
141054,Comp,9.52,1,1,-1,1,1,-1,-1,-1,WB/SB,A
141160,Comp,8.29,1,1,-1,1,1,-1,-1,-1,WB/SB,A
141152,Instrumentation,8.82,1,-1,-1,-1,1,-1,-1,-1,OT,C
141755,Instrumentation,8.9,1,-1,1,-1,1,-1,-1,-1,ML/AI,C
141089,Instrumentation,9,1,-1,-1,1,1,-1,1,-1,OT,C
141142,Instrumentation,8.32,-1,1,1,1,-1,-1,-1,-1,WB/SB,D
141156,Instrumentation,8.38,-1,1,-1,1,-1,-1,-1,-1,AND/IOT,D
141199,Instrumentation,8.26,1,1,-1,1,1,1,-1,-1,WB/SB,D
141579,Instrumentation,7.58,-1,-1,1,-1,-1,-1,1,-1,MECH,E
152115,Instrumentation,8.1,-1,-1,1,1,-1,1,-1,-1,EM/SP/CM,E
141328,Instrumentation,8.2,1,-1,1,-1,1,-1,1,-1,OT,E
152084,Instrumentation,8.18,1,-1,1,1,-1,-1,1,-1,MECH,E
152049,Instrumentation,8.22,1,1,1,-1,1,-1,-1,-1,WB/SB,E
141352,Instrumentation,8.28,-1,-1,1,1,1,-1,-1,-1,ML/AI,E
152042,Instrumentation,8.3,1,1,1,-1,1,-1,-1,-1,ML/AI,E
141729,Instrumentation,8.08,-1,-1,-1,1,-1,-1,1,-1,OT,E
152099,Instrumentation,8.24,1,-1,1,1,1,-1,-1,-1,AND/IOT,E
141254,Instrumentation,8.78,-1,1,1,1,1,-1,-1,-1,ML/AI,E
141391,Instrumentation,8.8,-1,1,1,1,1,-1,-1,-1,ML/AI,E
141536,Instrumentation,8.38,1,-1,-1,-1,-1,-1,-1,-1,ML/AI,E
141372,ELectronics,9.34,1,1,-1,1,1,-1,-1,-1,ML/AI,B
141083,ELectronics,8.49,1,-1,-1,1,-1,-1,-1,-1,WB/SB,C
141338,ELectronics,8.86,-1,1,1,-1,1,-1,-1,-1,ML/AI,C
141045,ELectronics,9.24,-1,-1,1,-1,1,-1,-1,-1,EM/SP/CM,C
141618,ELectronics,9.1,-1,1,1,-1,-1,1,-1,-1,EM/SP/CM,C
141110,ELectronics,8.88,-1,-1,1,-1,1,-1,-1,-1,EM/SP/CM,C
141223,ELectronics,9.1,1,-1,1,1,1,-1,-1,-1,ML/AI,C
141339,ELectronics,8.9,-1,-1,1,1,1,1,-1,-1,EM/SP/CM,C
141048,ELectronics,8.38,-1,-1,-1,-1,1,-1,-1,-1,MARK,D
141634,ELectronics,8.8,1,1,-1,1,-1,-1,-1,-1,AND/IOT,D
141790,ELectronics,8.74,1,-1,-1,1,-1,1,-1,-1,MARK,D
141728,ELectronics,8.8,1,-1,1,1,-1,1,-1,-1,MARK,D
141071,ELectronics,8.62,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,E
141401,ELectronics,8.2,1,-1,1,-1,1,1,-1,-1,ML/AI,E
141718,ELectronics,8.68,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,E
141045,ELectronics,8.52,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,E
141265,ELectronics,8.48,-1,-1,1,1,1,-1,-1,-1,EM/SP/CM,E
141653,Mechanical,9.09,-1,-1,-1,1,-1,1,1,-1,MECH,B
141534,Mechanical,9.3,-1,-1,-1,-1,-1,-1,1,-1,MECH,B
141281,Mechanical,8.75,-1,-1,-1,-1,-1,-1,1,1,OT,B
141477,Mechanical,9.46,-1,1,-1,-1,-1,1,1,-1,RS,B
131653,Mechanical,9.5,-1,-1,-1,-1,-1,1,1,-1,OT,B
141649,Mechanical,9.33,-1,-1,-1,-1,-1,1,1,-1,ML/AI,B
141221,Mechanical,9.45,-1,1,-1,-1,-1,1,-1,-1,ML/AI,B
141496,Mechanical,9.1,1,1,-1,-1,-1,1,1,-1,MARK,B
141100,Mechanical,9.1,1,1,-1,-1,-1,1,1,1,MARK,B
141215,Mechanical,9.02,-1,1,-1,-1,-1,1,1,-1,MECH,B
141811,Mechanical,8.99,-1,1,-1,-1,-1,1,1,-1,MECH,B
152046,Mechanical,9.38,-1,1,-1,-1,-1,1,1,1,NO,B
131755,Mechanical,9.5,-1,1,-1,1,-1,-1,1,-1,ML/AI,B
152065,Mechanical,9.5,-1,-1,-1,-1,-1,-1,1,-1,MECH,B
141026,Mechanical,9.21,-1,1,-1,-1,-1,1,1,-1,RS,B
141203,Mechanical,9.14,-1,1,-1,-1,-1,1,-1,-1,RS,B
141703,Mechanical,9.05,1,1,-1,-1,-1,-1,-1,-1,NO,B
141434,Mechanical,9.01,-1,-1,-1,-1,1,-1,-1,1,ML/AI,C
121447,Mechanical,8.3,-1,-1,-1,-1,-1,-1,1,1,MARK,C
152018,Mechanical,8.32,-1,-1,-1,-1,1,-1,-1,-1,MARK,C
141260,Mechanical,8.67,-1,-1,1,-1,1,-1,-1,1,MARK,C
152044,Mechanical,9.2,-1,-1,1,-1,1,-1,1,-1,MARK,C
141731,Mechanical,9.12,1,-1,-1,-1,1,1,-1,1,RS,C
152145,Mechanical,8.73,-1,-1,-1,-1,1,-1,1,1,MECH,C
141445,Mechanical,8.52,-1,-1,-1,-1,1,-1,-1,1,MARK,C
141035,Mechanical,8.81,-1,-1,-1,-1,-1,-1,1,1,MECH,C
141042,Mechanical,8.56,-1,-1,-1,-1,1,-1,-1,1,MARK,C
141037,Mechanical,8.72,1,-1,-1,-1,1,-1,-1,1,OT,C
141280,Mechanical,8.69,1,-1,-1,-1,-1,-1,-1,1,MARK,C
141074,Mechanical,8.99,-1,-1,-1,-1,1,1,-1,-1,RS,C
141317,Mechanical,8.52,1,-1,-1,-1,1,-1,-1,1,ML/AI,C
141206,Mechanical,8.92,-1,-1,-1,-1,-1,-1,1,1,MARK,C
141589,Mechanical,9.7,-1,-1,-1,-1,-1,-1,1,-1,MECH,D
141029,Mechanical,8.99,-1,-1,-1,1,-1,-1,-1,-1,NO,D
141609,Mechanical,8.9,-1,-1,-1,1,-1,-1,1,-1,MARK,D
141699,Mechanical,9.26,1,-1,-1,1,-1,1,1,-1,MARK,D
152060,Mechanical,8.5,-1,-1,-1,1,-1,-1,1,-1,MARK,D
152066,Mechanical,8.8,-1,-1,-1,1,-1,1,1,1,MECH,D
141189,Mechanical,8.92,-1,-1,-1,1,-1,-1,1,1,ML/AI,D
141650,Mechanical,9.01,-1,-1,-1,1,-1,-1,1,1,MARK,D
141324,Mechanical,8.36,-1,-1,-1,1,-1,-1,1,-1,RS,D
141432,Mechanical,8,-1,-1,-1,1,-1,-1,1,-1,RS,D
141649,Mechanical,8.47,-1,-1,-1,1,-1,-1,1,-1,MARK,D
141051,Mechanical,8.29,-1,-1,-1,-1,-1,-1,1,-1,MECH,D
141182,Mechanical,8.2,-1,-1,-1,-1,-1,1,-1,-1,OT,D
141151,Mechanical,8.1,-1,-1,-1,1,-1,-1,1,-1,WB/SB,D
141505,Mechanical,8.08,-1,-1,-1,-1,-1,1,1,-1,WB/SB,D
141201,Mechanical,8.12,-1,-1,-1,1,-1,-1,1,-1,MECH,D
141217,Mechanical,8.4,-1,-1,-1,1,-1,-1,-1,-1,NO,D
152055,Mechanical,8.45,-1,-1,-1,1,-1,-1,1,-1,MARK,D
141154,Mechanical,8.33,-1,-1,-1,1,-1,1,1,-1,WB/SB,D
141424,Mechanical,8.22,-1,-1,-1,1,-1,1,-1,1,OT,D
141545,Mechanical,8.5,-1,-1,-1,1,-1,-1,1,-1,RS,D
141017,Mechanical,8.2,-1,-1,-1,1,-1,-1,1,-1,NO,D
141762,Mechanical,8.3,-1,-1,-1,1,-1,-1,1,-1,NO,D
141432,Mechanical,8,-1,-1,-1,1,-1,-1,1,-1,RS,D
141231,Mechanical,8.21,-1,-1,-1,1,-1,-1,1,-1,MARK,D
141647,Mechanical,8.5,-1,-1,-1,1,-1,-1,1,-1,MECH,D
141166,Mechanical,9.24,-1,-1,-1,-1,-1,1,-1,1,MARK,E
141662,Mechanical,9.2,-1,-1,-1,-1,-1,1,-1,-1,WB/SB,E
141747,Mechanical,9.16,-1,-1,-1,-1,-1,1,-1,1,RS,E
141195,Mechanical,8.7,-1,-1,-1,-1,-1,1,1,1,MECH,E
141033,Mechanical,8.24,-1,-1,-1,-1,-1,1,-1,1,MECH,E
152077,Mechanical,9.2,-1,-1,1,-1,-1,1,1,1,EM/SP/CM,E
131643,Mechanical,9.16,-1,-1,-1,-1,-1,-1,-1,-1,RS,E
141753,Mechanical,8.8,-1,-1,-1,1,1,1,-1,1,MECH,E
141361,Mechanical,8.4,-1,-1,-1,-1,-1,1,-1,1,MARK,E
141586,Mechanical,8.4,-1,-1,-1,-1,-1,1,1,1,MARK,E
131375,Mechanical,8.32,-1,-1,-1,-1,-1,-1,-1,1,RS,E
141149,Mechanical,8.38,-1,-1,-1,1,1,1,-1,1,MARK,E
141830,Mechanical,7.76,-1,-1,-1,-1,-1,1,-1,1,RS,E
141427,IT,9.05,1,1,-1,1,1,-1,-1,-1,OT,A
141184,IT,9.2,1,-1,-1,-1,1,1,-1,-1,OT,B
152020,IT,8.4,-1,-1,-1,-1,-1,1,-1,-1,RS,C
152107,IT,8.2,1,-1,-1,-1,1,-1,-1,-1,ML/AI,C
141329,IT,8.88,1,1,-1,-1,1,1,-1,-1,ML/AI,C
141137,IT,9.09,1,-1,-1,1,1,-1,-1,-1,ML/AI,C
141086,IT,8.03,-1,1,1,1,1,1,-1,-1,OT,C
141192,IT,8.9,1,-1,-1,-1,1,-1,-1,-1,ML/AI,C
141077,IT,9,1,1,-1,-1,1,-1,-1,-1,AND/IOT,C
141205,IT,9.1,1,-1,-1,1,1,-1,-1,-1,ML/AI,C
141428,IT,9.1,1,1,-1,-1,1,-1,-1,-1,ML/AI,C
141819,IT,9.1,1,1,-1,-1,1,-1,-1,-1,ML/AI,C
141340,IT,8.72,1,1,-1,-1,-1,-1,-1,-1,WB/SB,D
141381,IT,8.57,1,1,-1,-1,-1,-1,-1,-1,WB/SB,D
141296,IT,7.67,1,1,-1,1,-1,-1,-1,-1,WB/SB,D
152131,IT,7.5,1,1,-1,1,-1,-1,-1,-1,WB/SB,D
141819,IT,7.74,-1,1,-1,-1,-1,-1,-1,-1,ML/AI,D
152020,IT,8.72,1,1,-1,-1,1,-1,-1,-1,OT,D
141656,IT,8.58,1,1,-1,-1,1,-1,-1,-1,WB/SB,D
141750,IT,9.08,-1,-1,-1,1,1,-1,-1,-1,WB/SB,D
141529,IT,8.6,1,1,-1,-1,1,-1,-1,-1,AND/IOT,D
141093,IT,8.64,1,1,-1,-1,1,-1,-1,-1,OT,D
152014,IT,9.4,-1,1,-1,-1,1,-1,-1,-1,WB/SB,D
141557,IT,6.9,1,-1,1,1,1,-1,-1,-1,AND/IOT,E
141466,IT,8.4,1,-1,-1,1,-1,-1,-1,-1,Other,E
